取引ID,日時,商品ID,商品名,単価,数量,小計,支払い方法
TX2026000011,2026-02-16 16:25:00,P010,ドライヤー,"¥18,000",2,"¥36,000",現金
TX2026000023,2026-02-01 22:37:00,P008,炊飯器,"¥25,000",3,"¥75,000",電子マネー
TX2026000046,2026-02-04 05:07:00,P002,冷蔵庫,"¥150,000",1,"¥150,000",QR決済
TX2026000088,2026-03-29 12:16:00,P003,洗濯機,"¥98,000",1,"¥98,000",QR決済
TX2026000098,2026-01-07 14:19:00,P003,洗濯機,"¥98,000",1,"¥98,000",電子マネー
TX2026000114,2026-02-26 19:05:00,P007,ワイヤレスイヤホン,"¥15,000",1,"¥15,000",クレジットカード
TX2026000128,2026-03-28 04:43:00,P010,ドライヤー,"¥18,000",3,"¥54,000",現金
TX2026000131,2026-02-13 12:09:00,P009,電子レンジ,"¥30,000",3,"¥90,000",現金
TX2026000159,2026-02-27 14:57:00,P010,ドライヤー,"¥18,000",3,"¥54,000",電子マネー
TX2026000187,2026-01-10 01:52:00,P010,ドライヤー,"¥18,000",1,"¥18,000",電子マネー
TX2026000190,2026-01-08 20:11:00,P007,ワイヤレスイヤホン,"¥15,000",1,"¥15,000",クレジットカード
TX2026000202,2026-03-27 00:34:00,P006,タブレット,"¥60,000",1,"¥60,000",クレジットカード
TX2026000232,2026-03-03 03:08:00,P003,洗濯機,"¥98,000",1,"¥98,000",現金
TX2026000268,2026-03-17 09:59:00,P007,ワイヤレスイヤホン,"¥15,000",1,"¥15,000",現金
TX2026000273,2026-03-20 00:41:00,P002,冷蔵庫,"¥150,000",1,"¥150,000",電子マネー
TX2026000296,2026-02-17 22:25:00,P006,タブレット,"¥60,000",2,"¥120,000",電子マネー
