取引ID,日時,商品ID,商品名,単価,数量,小計,支払い方法
TX2026000002,2026-02-14 22:19:00,P003,洗濯機,"¥98,000",1,"¥98,000",QR決済
TX2026000015,2026-02-09 08:50:00,P004,ノートPC,"¥130,000",1,"¥130,000",QR決済
TX2026000024,2026-02-13 06:21:00,P003,洗濯機,"¥98,000",1,"¥98,000",QR決済
TX2026000089,2026-01-15 18:09:00,P005,スマートフォン,"¥90,000",1,"¥90,000",クレジットカード
TX2026000102,2026-01-03 09:44:00,P002,冷蔵庫,"¥150,000",1,"¥150,000",電子マネー
TX2026000112,2026-02-03 12:58:00,P004,ノートPC,"¥130,000",1,"¥130,000",クレジットカード
TX2026000153,2026-03-09 05:00:00,P009,電子レンジ,"¥30,000",1,"¥30,000",電子マネー
TX2026000157,2026-03-20 00:12:00,P005,スマートフォン,"¥90,000",1,"¥90,000",クレジットカード
TX2026000172,2026-02-09 09:02:00,P003,洗濯機,"¥98,000",1,"¥98,000",QR決済
TX2026000194,2026-02-22 23:09:00,P007,ワイヤレスイヤホン,"¥15,000",1,"¥15,000",クレジットカード
TX2026000219,2026-03-04 08:41:00,P007,ワイヤレスイヤホン,"¥15,000",1,"¥15,000",クレジットカード
TX2026000247,2026-01-29 23:36:00,P004,ノートPC,"¥130,000",1,"¥130,000",クレジットカード
TX2026000285,2026-01-05 11:49:00,P002,冷蔵庫,"¥150,000",1,"¥150,000",電子マネー
TX2026000298,2026-02-06 17:17:00,P004,ノートPC,"¥130,000",1,"¥130,000",クレジットカード
