取引ID,日時,商品ID,商品名,単価,数量,小計,支払い方法
TX2026000031,2026-02-22 11:08:00,P003,洗濯機,"¥98,000",1,"¥98,000",クレジットカード
TX2026000050,2026-01-08 20:44:00,P001,4Kテレビ,"¥120,000",1,"¥120,000",クレジットカード
TX2026000051,2026-03-04 20:44:00,P009,電子レンジ,"¥30,000",3,"¥90,000",QR決済
TX2026000053,2026-01-08 16:19:00,P004,ノートPC,"¥130,000",1,"¥130,000",電子マネー
TX2026000054,2026-03-07 20:34:00,P004,ノートPC,"¥130,000",1,"¥130,000",現金
TX2026000140,2026-03-29 15:21:00,P009,電子レンジ,"¥30,000",2,"¥60,000",現金
TX2026000173,2026-03-16 09:07:00,P003,洗濯機,"¥98,000",1,"¥98,000",QR決済
TX2026000176,2026-03-04 21:00:00,P004,ノートPC,"¥130,000",1,"¥130,000",クレジットカード
TX2026000235,2026-02-27 09:02:00,P004,ノートPC,"¥130,000",1,"¥130,000",QR決済
TX2026000242,2026-02-05 05:41:00,P001,4Kテレビ,"¥120,000",1,"¥120,000",QR決済
TX2026000255,2026-03-10 11:51:00,P009,電子レンジ,"¥30,000",2,"¥60,000",QR決済
TX2026000257,2026-01-05 00:09:00,P001,4Kテレビ,"¥120,000",1,"¥120,000",クレジットカード
TX2026000281,2026-02-01 04:10:00,P006,タブレット,"¥60,000",1,"¥60,000",QR決済
