取引ID,日時,商品ID,商品名,単価,数量,小計,支払い方法
TX2026000006,2026-03-07 02:18:00,P005,スマートフォン,"¥90,000",1,"¥90,000",現金
TX2026000064,2026-02-21 15:32:00,P010,ドライヤー,"¥18,000",1,"¥18,000",電子マネー
TX2026000078,2026-01-28 15:33:00,P008,炊飯器,"¥25,000",2,"¥50,000",クレジットカード
TX2026000081,2026-03-10 23:37:00,P007,ワイヤレスイヤホン,"¥15,000",3,"¥45,000",クレジットカード
TX2026000105,2026-03-24 09:54:00,P007,ワイヤレスイヤホン,"¥15,000",3,"¥45,000",QR決済
TX2026000133,2026-03-14 12:01:00,P007,ワイヤレスイヤホン,"¥15,000",2,"¥30,000",クレジットカード
TX2026000197,2026-02-06 22:13:00,P010,ドライヤー,"¥18,000",1,"¥18,000",クレジットカード
TX2026000200,2026-03-19 14:39:00,P003,洗濯機,"¥98,000",1,"¥98,000",現金
TX2026000230,2026-03-10 00:07:00,P001,4Kテレビ,"¥120,000",1,"¥120,000",電子マネー
TX2026000276,2026-02-26 16:13:00,P004,ノートPC,"¥130,000",1,"¥130,000",電子マネー
TX2026000283,2026-03-05 20:23:00,P009,電子レンジ,"¥30,000",1,"¥30,000",QR決済
TX2026000294,2026-01-05 17:42:00,P002,冷蔵庫,"¥150,000",1,"¥150,000",現金
