取引ID,日時,商品ID,商品名,単価,数量,小計,支払い方法
TX2026000025,2026-03-20 08:58:00,P006,タブレット,"¥60,000",2,"¥120,000",QR決済
TX2026000033,2026-03-30 15:14:00,P010,ドライヤー,"¥18,000",2,"¥36,000",現金
TX2026000041,2026-02-06 11:57:00,P003,洗濯機,"¥98,000",1,"¥98,000",QR決済
TX2026000087,2026-01-13 15:17:00,P010,ドライヤー,"¥18,000",2,"¥36,000",クレジットカード
TX2026000091,2026-01-18 21:42:00,P006,タブレット,"¥60,000",3,"¥180,000",現金
TX2026000092,2026-01-28 18:44:00,P006,タブレット,"¥60,000",1,"¥60,000",電子マネー
TX2026000097,2026-02-25 09:48:00,P007,ワイヤレスイヤホン,"¥15,000",3,"¥45,000",電子マネー
TX2026000116,2026-02-12 21:43:00,P008,炊飯器,"¥25,000",2,"¥50,000",電子マネー
TX2026000122,2026-01-06 17:40:00,P001,4Kテレビ,"¥120,000",1,"¥120,000",QR決済
TX2026000138,2026-03-07 02:17:00,P003,洗濯機,"¥98,000",1,"¥98,000",QR決済
TX2026000152,2026-02-04 18:57:00,P008,炊飯器,"¥25,000",1,"¥25,000",QR決済
TX2026000162,2026-02-24 01:18:00,P003,洗濯機,"¥98,000",1,"¥98,000",電子マネー
TX2026000198,2026-02-02 07:35:00,P006,タブレット,"¥60,000",2,"¥120,000",クレジットカード
TX2026000206,2026-01-22 16:50:00,P005,スマートフォン,"¥90,000",1,"¥90,000",クレジットカード
TX2026000218,2026-02-23 10:19:00,P003,洗濯機,"¥98,000",1,"¥98,000",QR決済
TX2026000229,2026-01-08 20:48:00,P001,4Kテレビ,"¥120,000",1,"¥120,000",電子マネー
TX2026000234,2026-02-16 20:18:00,P004,ノートPC,"¥130,000",1,"¥130,000",QR決済
TX2026000275,2026-02-16 19:10:00,P003,洗濯機,"¥98,000",1,"¥98,000",クレジットカード
TX2026000277,2026-03-07 13:57:00,P001,4Kテレビ,"¥120,000",1,"¥120,000",クレジットカード
TX2026000278,2026-01-20 08:46:00,P008,炊飯器,"¥25,000",1,"¥25,000",QR決済
TX2026000287,2026-02-19 03:34:00,P009,電子レンジ,"¥30,000",1,"¥30,000",電子マネー
TX2026000295,2026-02-06 13:29:00,P006,タブレット,"¥60,000",2,"¥120,000",クレジットカード
