取引ID,日時,商品ID,商品名,単価,数量,小計,支払い方法
TX2026000013,2026-03-13 23:53:00,P008,炊飯器,"¥25,000",1,"¥25,000",QR決済
TX2026000028,2026-03-21 13:09:00,P001,4Kテレビ,"¥120,000",1,"¥120,000",QR決済
TX2026000083,2026-03-01 23:47:00,P008,炊飯器,"¥25,000",2,"¥50,000",クレジットカード
TX2026000093,2026-01-21 18:00:00,P003,洗濯機,"¥98,000",1,"¥98,000",QR決済
TX2026000109,2026-01-13 13:40:00,P004,ノートPC,"¥130,000",1,"¥130,000",電子マネー
TX2026000113,2026-03-17 17:09:00,P001,4Kテレビ,"¥120,000",1,"¥120,000",電子マネー
TX2026000139,2026-01-10 23:01:00,P001,4Kテレビ,"¥120,000",1,"¥120,000",クレジットカード
TX2026000142,2026-03-01 06:54:00,P008,炊飯器,"¥25,000",3,"¥75,000",クレジットカード
TX2026000205,2026-02-25 08:58:00,P003,洗濯機,"¥98,000",1,"¥98,000",現金
TX2026000210,2026-02-07 17:56:00,P004,ノートPC,"¥130,000",1,"¥130,000",クレジットカード
TX2026000214,2026-01-23 11:33:00,P006,タブレット,"¥60,000",1,"¥60,000",電子マネー
TX2026000225,2026-03-08 07:27:00,P006,タブレット,"¥60,000",3,"¥180,000",現金
TX2026000300,2026-01-22 16:48:00,P003,洗濯機,"¥98,000",1,"¥98,000",クレジットカード
