取引ID,日時,商品ID,商品名,単価,数量,小計,支払い方法
TX2026000045,2026-02-25 15:52:00,P002,冷蔵庫,"¥150,000",1,"¥150,000",電子マネー
TX2026000069,2026-01-27 05:57:00,P003,洗濯機,"¥98,000",1,"¥98,000",QR決済
TX2026000074,2026-03-28 01:20:00,P005,スマートフォン,"¥90,000",1,"¥90,000",クレジットカード
TX2026000076,2026-02-11 15:11:00,P007,ワイヤレスイヤホン,"¥15,000",1,"¥15,000",電子マネー
TX2026000103,2026-02-25 10:36:00,P008,炊飯器,"¥25,000",1,"¥25,000",QR決済
TX2026000146,2026-02-12 16:48:00,P007,ワイヤレスイヤホン,"¥15,000",2,"¥30,000",QR決済
TX2026000170,2026-03-06 11:39:00,P009,電子レンジ,"¥30,000",3,"¥90,000",クレジットカード
TX2026000186,2026-02-05 01:51:00,P003,洗濯機,"¥98,000",1,"¥98,000",現金
TX2026000213,2026-01-23 10:17:00,P005,スマートフォン,"¥90,000",1,"¥90,000",QR決済
TX2026000221,2026-02-28 16:28:00,P007,ワイヤレスイヤホン,"¥15,000",3,"¥45,000",クレジットカード
TX2026000238,2026-01-11 04:18:00,P006,タブレット,"¥60,000",2,"¥120,000",クレジットカード
TX2026000246,2026-03-21 19:09:00,P002,冷蔵庫,"¥150,000",1,"¥150,000",QR決済
TX2026000248,2026-02-03 15:18:00,P005,スマートフォン,"¥90,000",1,"¥90,000",クレジットカード
TX2026000253,2026-02-28 03:14:00,P001,4Kテレビ,"¥120,000",1,"¥120,000",電子マネー
TX2026000262,2026-03-17 20:21:00,P010,ドライヤー,"¥18,000",3,"¥54,000",クレジットカード
