取引ID,日時,商品ID,商品名,単価,数量,小計,支払い方法
TX2026000012,2026-02-03 06:55:00,P010,ドライヤー,"¥18,000",1,"¥18,000",電子マネー
TX2026000035,2026-01-06 21:06:00,P005,スマートフォン,"¥90,000",1,"¥90,000",QR決済
TX2026000048,2026-02-06 17:27:00,P007,ワイヤレスイヤホン,"¥15,000",3,"¥45,000",電子マネー
TX2026000063,2026-02-16 20:02:00,P003,洗濯機,"¥98,000",1,"¥98,000",クレジットカード
TX2026000068,2026-03-01 07:02:00,P002,冷蔵庫,"¥150,000",1,"¥150,000",QR決済
TX2026000071,2026-03-16 04:31:00,P009,電子レンジ,"¥30,000",3,"¥90,000",現金
TX2026000104,2026-02-14 15:49:00,P009,電子レンジ,"¥30,000",1,"¥30,000",QR決済
TX2026000115,2026-03-04 06:01:00,P003,洗濯機,"¥98,000",1,"¥98,000",クレジットカード
TX2026000118,2026-03-06 11:11:00,P006,タブレット,"¥60,000",3,"¥180,000",クレジットカード
TX2026000124,2026-02-05 12:20:00,P002,冷蔵庫,"¥150,000",1,"¥150,000",電子マネー
TX2026000150,2026-02-02 13:54:00,P007,ワイヤレスイヤホン,"¥15,000",1,"¥15,000",クレジットカード
TX2026000161,2026-01-16 04:29:00,P007,ワイヤレスイヤホン,"¥15,000",3,"¥45,000",QR決済
TX2026000165,2026-02-13 06:23:00,P008,炊飯器,"¥25,000",3,"¥75,000",電子マネー
TX2026000184,2026-02-11 16:29:00,P008,炊飯器,"¥25,000",3,"¥75,000",QR決済
TX2026000237,2026-03-29 11:15:00,P006,タブレット,"¥60,000",1,"¥60,000",クレジットカード
TX2026000259,2026-02-14 15:43:00,P008,炊飯器,"¥25,000",2,"¥50,000",現金
TX2026000279,2026-03-14 04:30:00,P009,電子レンジ,"¥30,000",3,"¥90,000",クレジットカード
TX2026000297,2026-02-22 05:16:00,P005,スマートフォン,"¥90,000",1,"¥90,000",クレジットカード
