取引ID,日時,商品ID,商品名,単価,数量,小計,支払い方法
TX2026000008,2026-03-20 08:04:00,P008,炊飯器,"¥25,000",2,"¥50,000",現金
TX2026000021,2026-03-10 07:42:00,P007,ワイヤレスイヤホン,"¥15,000",1,"¥15,000",クレジットカード
TX2026000040,2026-03-25 07:52:00,P001,4Kテレビ,"¥120,000",1,"¥120,000",クレジットカード
TX2026000072,2026-02-14 02:12:00,P010,ドライヤー,"¥18,000",2,"¥36,000",QR決済
TX2026000084,2026-03-04 21:28:00,P009,電子レンジ,"¥30,000",2,"¥60,000",クレジットカード
TX2026000110,2026-03-20 07:29:00,P006,タブレット,"¥60,000",1,"¥60,000",電子マネー
TX2026000127,2026-02-27 08:00:00,P007,ワイヤレスイヤホン,"¥15,000",3,"¥45,000",QR決済
TX2026000132,2026-03-01 03:00:00,P009,電子レンジ,"¥30,000",2,"¥60,000",電子マネー
TX2026000137,2026-01-03 17:03:00,P008,炊飯器,"¥25,000",1,"¥25,000",クレジットカード
TX2026000147,2026-03-25 17:36:00,P009,電子レンジ,"¥30,000",3,"¥90,000",電子マネー
TX2026000189,2026-03-30 00:18:00,P004,ノートPC,"¥130,000",1,"¥130,000",現金
TX2026000207,2026-01-31 02:03:00,P001,4Kテレビ,"¥120,000",1,"¥120,000",クレジットカード
TX2026000208,2026-03-08 18:01:00,P010,ドライヤー,"¥18,000",3,"¥54,000",現金
TX2026000223,2026-01-11 22:40:00,P002,冷蔵庫,"¥150,000",1,"¥150,000",クレジットカード
TX2026000228,2026-03-10 10:12:00,P002,冷蔵庫,"¥150,000",1,"¥150,000",電子マネー
TX2026000243,2026-01-26 10:10:00,P003,洗濯機,"¥98,000",1,"¥98,000",クレジットカード
TX2026000244,2026-02-13 09:50:00,P007,ワイヤレスイヤホン,"¥15,000",1,"¥15,000",現金
TX2026000250,2026-03-09 02:35:00,P007,ワイヤレスイヤホン,"¥15,000",2,"¥30,000",電子マネー
TX2026000280,2026-02-21 00:20:00,P008,炊飯器,"¥25,000",2,"¥50,000",クレジットカード
TX2026000291,2026-01-15 21:23:00,P007,ワイヤレスイヤホン,"¥15,000",1,"¥15,000",QR決済
TX2026000292,2026-01-16 17:52:00,P009,電子レンジ,"¥30,000",3,"¥90,000",クレジットカード
