取引ID,日時,商品ID,商品名,単価,数量,小計,支払い方法
TX2026000019,2026-02-28 22:07:00,P003,洗濯機,"¥98,000",1,"¥98,000",電子マネー
TX2026000042,2026-02-21 11:43:00,P008,炊飯器,"¥25,000",1,"¥25,000",クレジットカード
TX2026000055,2026-03-23 23:37:00,P001,4Kテレビ,"¥120,000",1,"¥120,000",クレジットカード
TX2026000065,2026-03-11 17:42:00,P003,洗濯機,"¥98,000",1,"¥98,000",QR決済
TX2026000111,2026-03-18 02:13:00,P004,ノートPC,"¥130,000",1,"¥130,000",クレジットカード
TX2026000141,2026-02-24 08:51:00,P006,タブレット,"¥60,000",2,"¥120,000",電子マネー
TX2026000155,2026-01-04 21:05:00,P002,冷蔵庫,"¥150,000",1,"¥150,000",クレジットカード
TX2026000174,2026-01-10 13:42:00,P004,ノートPC,"¥130,000",1,"¥130,000",クレジットカード
TX2026000216,2026-01-30 03:20:00,P003,洗濯機,"¥98,000",1,"¥98,000",電子マネー
TX2026000267,2026-03-31 01:00:00,P007,ワイヤレスイヤホン,"¥15,000",2,"¥30,000",クレジットカード
TX2026000282,2026-03-16 15:37:00,P005,スマートフォン,"¥90,000",1,"¥90,000",クレジットカード
