取引ID,日時,商品ID,商品名,単価,数量,小計,支払い方法
TX2026000020,2026-01-11 12:28:00,P001,4Kテレビ,"¥120,000",1,"¥120,000",QR決済
TX2026000061,2026-02-12 18:53:00,P009,電子レンジ,"¥30,000",2,"¥60,000",QR決済
TX2026000106,2026-01-21 01:26:00,P010,ドライヤー,"¥18,000",3,"¥54,000",QR決済
TX2026000107,2026-01-20 17:39:00,P007,ワイヤレスイヤホン,"¥15,000",2,"¥30,000",現金
TX2026000123,2026-01-09 03:02:00,P001,4Kテレビ,"¥120,000",1,"¥120,000",電子マネー
TX2026000126,2026-01-16 23:18:00,P002,冷蔵庫,"¥150,000",1,"¥150,000",クレジットカード
TX2026000130,2026-01-07 00:06:00,P002,冷蔵庫,"¥150,000",1,"¥150,000",電子マネー
TX2026000156,2026-01-12 08:42:00,P004,ノートPC,"¥130,000",1,"¥130,000",現金
TX2026000201,2026-03-11 14:48:00,P002,冷蔵庫,"¥150,000",1,"¥150,000",現金
TX2026000231,2026-02-27 10:43:00,P002,冷蔵庫,"¥150,000",1,"¥150,000",クレジットカード
TX2026000236,2026-03-24 02:26:00,P009,電子レンジ,"¥30,000",3,"¥90,000",電子マネー
TX2026000252,2026-01-15 03:16:00,P008,炊飯器,"¥25,000",2,"¥50,000",QR決済
TX2026000269,2026-01-24 22:11:00,P007,ワイヤレスイヤホン,"¥15,000",3,"¥45,000",クレジットカード
TX2026000288,2026-02-13 10:49:00,P007,ワイヤレスイヤホン,"¥15,000",3,"¥45,000",QR決済
TX2026000289,2026-02-12 03:22:00,P008,炊飯器,"¥25,000",2,"¥50,000",QR決済
