取引ID,日時,商品ID,商品名,単価,数量,小計,支払い方法
TX2026000016,2026-02-13 01:46:00,P002,冷蔵庫,"¥150,000",1,"¥150,000",現金
TX2026000017,2026-03-12 23:07:00,P001,4Kテレビ,"¥120,000",1,"¥120,000",電子マネー
TX2026000047,2026-01-27 02:43:00,P004,ノートPC,"¥130,000",1,"¥130,000",QR決済
TX2026000058,2026-03-15 15:00:00,P007,ワイヤレスイヤホン,"¥15,000",1,"¥15,000",現金
TX2026000070,2026-02-28 18:14:00,P006,タブレット,"¥60,000",1,"¥60,000",現金
TX2026000125,2026-03-24 23:18:00,P009,電子レンジ,"¥30,000",3,"¥90,000",クレジットカード
TX2026000134,2026-01-15 10:20:00,P005,スマートフォン,"¥90,000",1,"¥90,000",QR決済
TX2026000163,2026-03-03 02:57:00,P010,ドライヤー,"¥18,000",1,"¥18,000",QR決済
TX2026000167,2026-02-20 17:57:00,P005,スマートフォン,"¥90,000",1,"¥90,000",クレジットカード
TX2026000171,2026-03-04 16:17:00,P007,ワイヤレスイヤホン,"¥15,000",2,"¥30,000",QR決済
TX2026000175,2026-02-21 23:10:00,P006,タブレット,"¥60,000",3,"¥180,000",QR決済
TX2026000180,2026-01-18 00:49:00,P005,スマートフォン,"¥90,000",1,"¥90,000",電子マネー
TX2026000185,2026-03-29 13:50:00,P005,スマートフォン,"¥90,000",1,"¥90,000",クレジットカード
TX2026000203,2026-02-02 14:27:00,P007,ワイヤレスイヤホン,"¥15,000",3,"¥45,000",クレジットカード
TX2026000211,2026-02-15 23:53:00,P007,ワイヤレスイヤホン,"¥15,000",1,"¥15,000",電子マネー
TX2026000256,2026-01-18 08:52:00,P003,洗濯機,"¥98,000",1,"¥98,000",電子マネー
TX2026000263,2026-02-01 07:28:00,P002,冷蔵庫,"¥150,000",1,"¥150,000",クレジットカード
TX2026000290,2026-02-10 00:20:00,P007,ワイヤレスイヤホン,"¥15,000",3,"¥45,000",電子マネー
