取引ID,日時,商品ID,商品名,単価,数量,小計,支払い方法
TX2026000022,2026-01-04 20:16:00,P003,洗濯機,"¥98,000",1,"¥98,000",現金
TX2026000029,2026-03-04 08:34:00,P004,ノートPC,"¥130,000",1,"¥130,000",クレジットカード
TX2026000056,2026-01-31 17:06:00,P008,炊飯器,"¥25,000",2,"¥50,000",QR決済
TX2026000077,2026-03-11 07:35:00,P009,電子レンジ,"¥30,000",3,"¥90,000",クレジットカード
TX2026000079,2026-03-11 15:29:00,P001,4Kテレビ,"¥120,000",1,"¥120,000",クレジットカード
TX2026000096,2026-02-04 18:43:00,P004,ノートPC,"¥130,000",1,"¥130,000",クレジットカード
TX2026000120,2026-01-12 05:16:00,P007,ワイヤレスイヤホン,"¥15,000",3,"¥45,000",クレジットカード
TX2026000121,2026-02-28 23:52:00,P004,ノートPC,"¥130,000",1,"¥130,000",現金
TX2026000145,2026-02-21 15:57:00,P008,炊飯器,"¥25,000",2,"¥50,000",クレジットカード
TX2026000168,2026-03-25 23:50:00,P007,ワイヤレスイヤホン,"¥15,000",2,"¥30,000",クレジットカード
TX2026000179,2026-03-02 05:56:00,P009,電子レンジ,"¥30,000",2,"¥60,000",QR決済
TX2026000188,2026-02-14 05:34:00,P007,ワイヤレスイヤホン,"¥15,000",1,"¥15,000",クレジットカード
TX2026000191,2026-03-06 17:32:00,P003,洗濯機,"¥98,000",1,"¥98,000",電子マネー
TX2026000227,2026-01-02 17:25:00,P007,ワイヤレスイヤホン,"¥15,000",1,"¥15,000",現金
