取引ID,日時,商品ID,商品名,単価,数量,小計,支払い方法
TX2026000001,2026-03-09 06:06:00,P009,電子レンジ,"¥30,000",2,"¥60,000",クレジットカード
TX2026000030,2026-01-18 12:14:00,P003,洗濯機,"¥98,000",1,"¥98,000",現金
TX2026000039,2026-02-02 08:38:00,P007,ワイヤレスイヤホン,"¥15,000",2,"¥30,000",クレジットカード
TX2026000066,2026-01-31 08:13:00,P009,電子レンジ,"¥30,000",1,"¥30,000",現金
TX2026000086,2026-03-19 10:32:00,P010,ドライヤー,"¥18,000",2,"¥36,000",QR決済
TX2026000117,2026-01-15 01:20:00,P009,電子レンジ,"¥30,000",3,"¥90,000",QR決済
TX2026000135,2026-03-24 19:32:00,P005,スマートフォン,"¥90,000",1,"¥90,000",QR決済
TX2026000144,2026-01-21 08:04:00,P004,ノートPC,"¥130,000",1,"¥130,000",電子マネー
TX2026000148,2026-02-20 14:32:00,P008,炊飯器,"¥25,000",3,"¥75,000",QR決済
TX2026000182,2026-01-03 12:19:00,P003,洗濯機,"¥98,000",1,"¥98,000",電子マネー
TX2026000193,2026-03-23 14:01:00,P003,洗濯機,"¥98,000",1,"¥98,000",電子マネー
TX2026000199,2026-02-19 03:37:00,P002,冷蔵庫,"¥150,000",1,"¥150,000",クレジットカード
TX2026000224,2026-02-06 01:00:00,P006,タブレット,"¥60,000",2,"¥120,000",電子マネー
TX2026000245,2026-03-16 10:49:00,P004,ノートPC,"¥130,000",1,"¥130,000",QR決済
TX2026000249,2026-03-29 18:53:00,P001,4Kテレビ,"¥120,000",1,"¥120,000",クレジットカード
TX2026000260,2026-02-09 09:48:00,P009,電子レンジ,"¥30,000",3,"¥90,000",クレジットカード
TX2026000270,2026-03-05 22:17:00,P009,電子レンジ,"¥30,000",2,"¥60,000",クレジットカード
TX2026000271,2026-01-25 05:25:00,P002,冷蔵庫,"¥150,000",1,"¥150,000",現金
TX2026000274,2026-01-10 02:19:00,P001,4Kテレビ,"¥120,000",1,"¥120,000",QR決済
