取引ID,日時,商品ID,商品名,単価,数量,小計,支払い方法
TX2026000003,2026-01-14 03:36:00,P007,ワイヤレスイヤホン,"¥15,000",2,"¥30,000",現金
TX2026000005,2026-03-14 19:04:00,P001,4Kテレビ,"¥120,000",1,"¥120,000",QR決済
TX2026000010,2026-02-11 00:40:00,P008,炊飯器,"¥25,000",3,"¥75,000",クレジットカード
TX2026000038,2026-01-30 19:07:00,P008,炊飯器,"¥25,000",3,"¥75,000",QR決済
TX2026000060,2026-02-08 17:35:00,P002,冷蔵庫,"¥150,000",1,"¥150,000",電子マネー
TX2026000166,2026-02-09 22:52:00,P006,タブレット,"¥60,000",2,"¥120,000",QR決済
TX2026000195,2026-02-17 12:01:00,P002,冷蔵庫,"¥150,000",1,"¥150,000",電子マネー
TX2026000196,2026-01-11 17:52:00,P001,4Kテレビ,"¥120,000",1,"¥120,000",クレジットカード
TX2026000261,2026-03-28 07:55:00,P005,スマートフォン,"¥90,000",1,"¥90,000",現金
TX2026000264,2026-02-02 11:09:00,P005,スマートフォン,"¥90,000",1,"¥90,000",クレジットカード
TX2026000272,2026-02-19 03:25:00,P006,タブレット,"¥60,000",3,"¥180,000",クレジットカード
