取引ID,日時,商品ID,商品名,単価,数量,小計,支払い方法
TX2026000004,2026-02-10 11:50:00,P009,電子レンジ,"¥30,000",1,"¥30,000",クレジットカード
TX2026000014,2026-02-18 02:54:00,P003,洗濯機,"¥98,000",1,"¥98,000",クレジットカード
TX2026000059,2026-01-26 14:38:00,P010,ドライヤー,"¥18,000",3,"¥54,000",現金
TX2026000067,2026-03-06 12:39:00,P010,ドライヤー,"¥18,000",1,"¥18,000",QR決済
TX2026000100,2026-01-06 12:39:00,P009,電子レンジ,"¥30,000",1,"¥30,000",現金
TX2026000158,2026-02-04 02:15:00,P009,電子レンジ,"¥30,000",3,"¥90,000",クレジットカード
TX2026000183,2026-03-21 22:00:00,P003,洗濯機,"¥98,000",1,"¥98,000",クレジットカード
TX2026000209,2026-03-19 13:39:00,P007,ワイヤレスイヤホン,"¥15,000",1,"¥15,000",電子マネー
TX2026000212,2026-01-16 02:24:00,P008,炊飯器,"¥25,000",1,"¥25,000",QR決済
TX2026000215,2026-01-21 02:56:00,P010,ドライヤー,"¥18,000",2,"¥36,000",クレジットカード
TX2026000240,2026-02-05 05:50:00,P006,タブレット,"¥60,000",1,"¥60,000",電子マネー
