取引ID,日時,商品ID,商品名,単価,数量,小計,支払い方法
TX2026000018,2026-01-29 11:58:00,P010,ドライヤー,"¥18,000",2,"¥36,000",クレジットカード
TX2026000027,2026-01-14 16:39:00,P010,ドライヤー,"¥18,000",3,"¥54,000",QR決済
TX2026000034,2026-02-24 14:44:00,P006,タブレット,"¥60,000",2,"¥120,000",現金
TX2026000036,2026-03-29 06:22:00,P004,ノートPC,"¥130,000",1,"¥130,000",電子マネー
TX2026000049,2026-03-30 11:02:00,P004,ノートPC,"¥130,000",1,"¥130,000",クレジットカード
TX2026000057,2026-02-24 22:43:00,P009,電子レンジ,"¥30,000",1,"¥30,000",QR決済
TX2026000099,2026-03-19 08:46:00,P004,ノートPC,"¥130,000",1,"¥130,000",QR決済
TX2026000101,2026-03-27 01:32:00,P009,電子レンジ,"¥30,000",3,"¥90,000",電子マネー
TX2026000119,2026-01-09 19:26:00,P008,炊飯器,"¥25,000",2,"¥50,000",電子マネー
TX2026000129,2026-02-02 16:51:00,P007,ワイヤレスイヤホン,"¥15,000",2,"¥30,000",QR決済
TX2026000151,2026-01-15 07:30:00,P010,ドライヤー,"¥18,000",1,"¥18,000",QR決済
TX2026000164,2026-02-28 03:32:00,P002,冷蔵庫,"¥150,000",1,"¥150,000",クレジットカード
TX2026000169,2026-02-05 20:49:00,P004,ノートPC,"¥130,000",1,"¥130,000",クレジットカード
TX2026000239,2026-03-04 08:15:00,P003,洗濯機,"¥98,000",1,"¥98,000",現金
TX2026000241,2026-03-01 07:52:00,P008,炊飯器,"¥25,000",2,"¥50,000",電子マネー
TX2026000265,2026-03-29 03:54:00,P001,4Kテレビ,"¥120,000",1,"¥120,000",電子マネー
TX2026000286,2026-02-25 06:34:00,P008,炊飯器,"¥25,000",3,"¥75,000",クレジットカード
TX2026000299,2026-01-31 10:39:00,P001,4Kテレビ,"¥120,000",1,"¥120,000",クレジットカード
