取引ID,日時,商品ID,商品名,単価,数量,小計,支払い方法
TX2026000007,2026-02-05 00:55:00,P005,スマートフォン,"¥90,000",1,"¥90,000",クレジットカード
TX2026000009,2026-01-04 20:09:00,P002,冷蔵庫,"¥150,000",1,"¥150,000",電子マネー
TX2026000026,2026-03-30 19:08:00,P010,ドライヤー,"¥18,000",2,"¥36,000",現金
TX2026000052,2026-01-16 04:24:00,P003,洗濯機,"¥98,000",1,"¥98,000",電子マネー
TX2026000075,2026-01-14 21:32:00,P002,冷蔵庫,"¥150,000",1,"¥150,000",QR決済
TX2026000082,2026-01-20 01:37:00,P010,ドライヤー,"¥18,000",3,"¥54,000",QR決済
TX2026000090,2026-01-19 18:05:00,P002,冷蔵庫,"¥150,000",1,"¥150,000",クレジットカード
TX2026000094,2026-01-03 14:40:00,P006,タブレット,"¥60,000",3,"¥180,000",電子マネー
TX2026000108,2026-03-15 13:30:00,P002,冷蔵庫,"¥150,000",1,"¥150,000",QR決済
TX2026000143,2026-02-06 10:58:00,P004,ノートPC,"¥130,000",1,"¥130,000",現金
TX2026000178,2026-03-17 03:34:00,P008,炊飯器,"¥25,000",2,"¥50,000",クレジットカード
TX2026000181,2026-02-25 09:24:00,P003,洗濯機,"¥98,000",1,"¥98,000",電子マネー
TX2026000192,2026-03-15 14:56:00,P002,冷蔵庫,"¥150,000",1,"¥150,000",クレジットカード
TX2026000217,2026-01-08 20:50:00,P005,スマートフォン,"¥90,000",1,"¥90,000",クレジットカード
TX2026000222,2026-02-14 06:14:00,P004,ノートPC,"¥130,000",1,"¥130,000",電子マネー
TX2026000233,2026-02-12 13:48:00,P004,ノートPC,"¥130,000",1,"¥130,000",現金
TX2026000254,2026-01-28 13:28:00,P002,冷蔵庫,"¥150,000",1,"¥150,000",クレジットカード
TX2026000258,2026-02-10 14:16:00,P009,電子レンジ,"¥30,000",3,"¥90,000",クレジットカード
